parameter,S1,ST,S1_conf,ST_conf
alpha1,0.16823558795001956,0.9588043936924433,0.0016516196720413126,0.012852502662471753
alpha2,1.752890435112883e-06,0.001331760683024763,0.0017279021397716354,0.013908560456494695
alpha3,0.009702883582355274,0.7187811672042046,0.001522010382737921,0.01230360008488149
beta1,2.3998096059448698e-05,0.0021268739407261927,0.0013970085170956505,0.012226198700515233
K1,8.283143720421982e-06,0.0074217873997456385,0.0014078742690053821,0.012676604162420614
K2,2.03541664384876e-05,0.002049702360366612,0.0014369718315412202,0.01378135581693649
K3,1.7018805756461375e-05,0.02459812568300257,0.0013671656771222468,0.014468751063820794
mu1,0.030402889258523025,0.2223803597718923,0.0016096198992826287,0.012003035220412977
kappa2,1.3144160895043218e-05,0.003604628234365914,0.0016256281013113125,0.01308332219868412
kappa3,0.0001977867637496096,0.08462250156716766,0.0017956071697772344,0.013972423387395926
