parameter,S1,ST,S1_conf,ST_conf
alpha1,0.22871022944589955,0.8101463923147163,0.0014734327700494363,0.013809879462192963
alpha2,0.00861881668120497,0.016329583641248147,0.0014833502610918396,0.013034959148707235
alpha3,0.03630383917726907,0.5047437510421104,0.0013424241831891076,0.01098104240319567
beta1,9.741284282467416e-05,0.0029756697864397053,0.0015858760134633647,0.01270757100886705
K1,0.0006089419731702809,0.008675949903413915,0.001600004005237372,0.012627537281221329
K2,0.056382163567135914,0.07363739547649795,0.001538390734320158,0.012481637121801066
K3,0.008712852468598573,0.020480639742975093,0.0012148736200229663,0.012398123620754186
mu1,2.4235134036233943e-05,0.12837254423028066,0.0015850743922027957,0.014430289883490119
kappa2,0.01955705498256949,0.031806188922006484,0.0014920273877969375,0.011848989068059338
kappa3,0.054143665452482885,0.17914094233761235,0.0016917971377437082,0.013817969734058197
