parameter,S1,ST,S1_conf,ST_conf
alpha1,0.15994614424106052,0.8835469720865607,0.001570371522992059,0.013279646121706162
alpha2,1.022242552018029e-06,0.0013240812949666392,0.0014420768452442585,0.013428415468635116
alpha3,0.04752376498587308,0.7067761559449878,0.0015254050905100314,0.011321884970599494
beta1,0.00011606267392123335,0.002641984183856083,0.0018895625900156759,0.012667328117088735
K1,0.0013297072175413717,0.018239644459235094,0.0018095922765777343,0.014650847641208081
K2,0.00016004015977295013,0.0030530715241210427,0.0013018260377716797,0.012767236886017368
K3,0.007959921432987557,0.03327791336321728,0.0015943395357693377,0.014706958387713099
mu1,0.0036418708412380946,0.1577354055274348,0.0016187961032791032,0.012090588007429631
kappa2,1.4810041775286662e-05,0.003269839460530277,0.001422194587386719,0.013368221659626811
kappa3,0.04262198946799958,0.1265812354086211,0.0016213855173016164,0.014212139279424848
